"No.","Time","Source","Destination","Protocol","Length","Info"
"1206","11.419946018","192.168.126.132","159.124.46.38","TLSv1.3","184","Application Data"
"1207","11.420064153","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=87062 Win=64240 Len=0"
"1208","11.420064189","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=87192 Win=64240 Len=0"
"1209","11.420847155","192.168.126.132","159.124.46.38","TLSv1.3","193","Application Data"
"1210","11.421175239","192.168.126.132","159.124.46.38","TLSv1.3","221","Application Data"
"1211","11.421231575","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=87331 Win=64240 Len=0"
"1212","11.421260367","192.168.126.132","159.124.46.38","TLSv1.3","234","Application Data"
"1213","11.421310081","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=87498 Win=64240 Len=0"
"1214","11.421332283","192.168.126.132","159.124.46.38","TLSv1.3","184","Application Data"
"1215","11.421385707","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=87678 Win=64240 Len=0"
"1216","11.421400865","192.168.126.132","159.124.46.38","TLSv1.3","193","Application Data"
"1217","11.421512893","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=87808 Win=64240 Len=0"
"1218","11.421512934","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=87947 Win=64240 Len=0"
"1219","11.421584078","192.168.126.132","159.124.46.38","TLSv1.3","221","Application Data"
"1220","11.421723631","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=88114 Win=64240 Len=0"
"1221","11.421800815","192.168.126.132","159.124.46.38","TLSv1.3","234","Application Data"
"1222","11.421937215","192.168.126.132","159.124.46.38","TLSv1.3","184","Application Data"
"1223","11.422011385","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=88294 Win=64240 Len=0"
"1224","11.422032043","192.168.126.132","159.124.46.38","TLSv1.3","193","Application Data"
"1225","11.422092276","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=88424 Win=64240 Len=0"
"1226","11.422146519","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=88563 Win=64240 Len=0"
"1227","11.422187273","192.168.126.132","159.124.46.38","TLSv1.3","185","Application Data"
"1228","11.422247682","192.168.126.132","159.124.46.38","TLSv1.3","192","Application Data"
"1229","11.422293413","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=88694 Win=64240 Len=0"
"1230","11.422311616","192.168.126.132","159.124.46.38","TLSv1.3","192","Application Data"
"1231","11.422366063","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=88832 Win=64240 Len=0"
"1232","11.422382476","192.168.126.132","159.124.46.38","TLSv1.3","240","Application Data"
"1233","11.422433562","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=88970 Win=64240 Len=0"
"1234","11.422451392","192.168.126.132","159.124.46.38","TLSv1.3","643","Application Data"
"1235","11.422501650","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=89156 Win=64240 Len=0"
"1236","11.422517761","192.168.126.132","159.124.46.38","TLSv1.3","519","Application Data"
"1237","11.422561758","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=89745 Win=64240 Len=0"
"1238","11.422578970","192.168.126.132","159.124.46.38","TLSv1.3","514","Application Data"
"1239","11.422627728","192.168.126.132","159.124.46.38","TLSv1.3","189","Application Data"
"1240","11.422671998","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=90210 Win=64240 Len=0"
"1241","11.422672033","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=90670 Win=64240 Len=0"
"1242","11.422714797","159.124.46.38","192.168.126.132","TCP","60","443  >  46698 [ACK] Seq=19387 Ack=90805 Win=64240 Len=0"
"1243","11.432759501","159.124.46.38","192.168.126.132","UDP","1078","8801  >  36789 Len=1036"
"1244","11.432759825","159.124.46.38","192.168.126.132","UDP","1078","8801  >  36789 Len=1036"
"1245","11.432759849","159.124.46.38","192.168.126.132","UDP","1078","8801  >  36789 Len=1036"
"1246","11.436316281","192.168.126.132","159.124.46.38","UDP","236","35995  >  8801 Len=194"
"1247","11.439187575","192.168.126.132","159.124.46.38","UDP","236","52509  >  8801 Len=194"
"1248","11.439415637","192.168.126.132","159.124.46.38","UDP","229","55367  >  8801 Len=187"
"1249","11.439492759","192.168.126.132","159.124.46.38","UDP","1078","52926  >  8801 Len=1036"
"1250","11.439544320","192.168.126.132","159.124.46.38","UDP","1078","52926  >  8801 Len=1036"
"1251","11.439591010","192.168.126.132","159.124.46.38","UDP","1078","52926  >  8801 Len=1036"
"1252","11.439636658","192.168.126.132","159.124.46.38","UDP","1078","52926  >  8801 Len=1036"
"1253","11.451073629","159.124.46.38","192.168.126.132","UDP","1078","8801  >  36789 Len=1036"
"1254","11.451074034","159.124.46.38","192.168.126.132","UDP","1078","8801  >  36789 Len=1036"
"1255","11.451074072","159.124.46.38","192.168.126.132","UDP","86","8801  >  52509 Len=44"
"1256","11.451074107","159.124.46.38","192.168.126.132","UDP","60","8801  >  52509 Len=14"
"1257","11.451074144","159.124.46.38","192.168.126.132","UDP","86","8801  >  59402 Len=44"
"1258","11.451074181","159.124.46.38","192.168.126.132","UDP","60","8801  >  59402 Len=14"
"1259","11.451074218","159.124.46.38","192.168.126.132","UDP","86","8801  >  55367 Len=44"
"1260","11.451074254","159.124.46.38","192.168.126.132","UDP","60","8801  >  55367 Len=14"
"1261","11.451142598","192.168.126.132","159.124.46.38","ICMP","114","Destination unreachable (Port unreachable)"
"1262","11.451205730","192.168.126.132","159.124.46.38","ICMP","84","Destination unreachable (Port unreachable)"
"1263","11.451283549","159.124.46.38","192.168.126.132","UDP","86","8801  >  32956 Len=44"
"1264","11.451283668","159.124.46.38","192.168.126.132","UDP","60","8801  >  32956 Len=14"
"1265","11.451296689","192.168.126.132","159.124.46.38","ICMP","114","Destination unreachable (Port unreachable)"
"1266","11.451347349","192.168.126.132","159.124.46.38","ICMP","84","Destination unreachable (Port unreachable)"
"1267","11.451855046","159.124.46.38","192.168.126.132","UDP","86","8801  >  35995 Len=44"
"1268","11.451855177","159.124.46.38","192.168.126.132","UDP","60","8801  >  35995 Len=14"
"1269","11.451855216","159.124.46.38","192.168.126.132","UDP","1078","8801  >  36789 Len=1036"
"1270","11.451855242","159.124.46.38","192.168.126.132","UDP","165","8801  >  36789 Len=123"
"1271","11.451855269","159.124.46.38","192.168.126.132","TLSv1.3","97","Application Data"
"1272","11.451855294","159.124.46.38","192.168.126.132","UDP","86","8801  >  40888 Len=44"
"1273","11.451855320","159.124.46.38","192.168.126.132","UDP","60","8801  >  40888 Len=14"
"1274","11.451888942","192.168.126.132","159.124.46.38","ICMP","114","Destination unreachable (Port unreachable)"
"1275","11.452136455","192.168.126.132","159.124.46.38","ICMP","84","Destination unreachable (Port unreachable)"
"1276","11.454429731","192.168.126.132","159.124.46.38","TLSv1.3","184","Application Data"
"1277","11.454616500","192.168.126.132","159.124.46.38","TLSv1.3","189","Application Data"
