"No.","Time","Source","Destination","Protocol","Length","Info"
"63","0.532528107","192.168.126.132","142.250.75.68","TCP","74","33390  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=969496227 TSecr=0 WS=128"
"64","0.533625199","142.250.75.68","192.168.126.132","QUIC","1292","Initial, SCID=e26c13aa31d756cf, PKN: 4, CRYPTO, PADDING"
"65","0.533917082","192.168.126.132","142.250.75.68","QUIC","1292","Initial, DCID=e26c13aa31d756cf, PKN: 3, ACK, PADDING"
"66","0.540503988","192.168.126.132","142.250.75.68","QUIC","79","Handshake, DCID=e26c13aa31d756cf"
"67","0.555435552","142.250.75.68","192.168.126.132","TCP","60","443  >  33380 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"68","0.555435896","142.250.75.68","192.168.126.132","TCP","60","443  >  33366 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"69","0.555435984","142.250.75.68","192.168.126.132","TCP","60","443  >  33390 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"70","0.555436050","142.250.75.68","192.168.126.132","TCP","60","443  >  33384 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"71","0.555485990","192.168.126.132","142.250.75.68","TCP","54","33380  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"72","0.555557891","192.168.126.132","142.250.75.68","TCP","54","33366  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"73","0.555613688","192.168.126.132","142.250.75.68","TCP","54","33390  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"74","0.555666985","192.168.126.132","142.250.75.68","TCP","54","33384  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"75","0.556352497","192.168.126.132","142.250.75.68","TLSv1.3","1842","Client Hello (SNI=www.google.com)"
"76","0.556758623","142.250.75.68","192.168.126.132","TCP","60","443  >  33380 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
