"No.","Time","Source","Destination","Protocol","Length","Info"
"133","0.682481223","192.168.126.132","142.250.75.68","TCP","54","33964  >  443 [ACK] Seq=1757 Ack=5382 Win=65535 Len=0"
"134","0.682522109","192.168.126.132","142.250.75.68","TCP","54","33948  >  443 [ACK] Seq=1725 Ack=2825 Win=65535 Len=0"
"135","0.683935231","192.168.126.132","142.250.75.68","TLSv1.3","128","Change Cipher Spec, Application Data"
"136","0.684600133","142.250.75.68","192.168.126.132","TCP","60","443  >  33964 [ACK] Seq=5382 Ack=1831 Win=64240 Len=0"
"137","0.684600254","142.250.75.68","192.168.126.132","TLSv1.3","2611","Application Data"
"138","0.684600297","142.250.75.68","192.168.126.132","TLSv1.3","5434","Server Hello, Change Cipher Spec, Application Data"
"139","0.684627120","192.168.126.132","142.250.75.68","TCP","54","33948  >  443 [ACK] Seq=1725 Ack=5382 Win=65535 Len=0"
"140","0.684650175","192.168.126.132","142.250.75.68","TCP","54","33932  >  443 [ACK] Seq=1789 Ack=5381 Win=65535 Len=0"
"141","0.685357952","192.168.126.132","142.250.75.68","TLSv1.3","128","Change Cipher Spec, Application Data"
"142","0.685716167","142.250.75.68","192.168.126.132","TCP","60","443  >  33948 [ACK] Seq=5382 Ack=1799 Win=64240 Len=0"
"143","0.686244777","192.168.126.132","142.250.75.68","TLSv1.3","128","Change Cipher Spec, Application Data"
"144","0.686691209","142.250.75.68","192.168.126.132","TCP","60","443  >  33932 [ACK] Seq=5381 Ack=1863 Win=64240 Len=0"
"145","0.689289773","192.168.126.2","192.168.126.132","DNS","136","Standard query response 0x8f7a A www.wikipedia.org CNAME dyna.wikimedia.org A 185.15.59.224 OPT"
"146","0.689289920","192.168.126.2","192.168.126.132","DNS","171","Standard query response 0x2d3f HTTPS www.wikipedia.org CNAME dyna.wikimedia.org SOA ns0.wikimedia.org OPT"
"147","0.689613796","192.168.126.132","192.168.126.2","DNS","89","Standard query 0xe510 HTTPS dyna.wikimedia.org OPT"
"148","0.695943332","192.168.126.132","185.15.59.224","TCP","74","35592  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3451381077 TSecr=0 WS=128"
"149","0.708928141","64.233.167.84","192.168.126.132","TCP","60","443  >  36638 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"150","0.708928521","192.168.126.2","192.168.126.132","DNS","140","Standard query response 0xe510 HTTPS dyna.wikimedia.org SOA ns0.wikimedia.org OPT"
"151","0.708928580","64.233.167.84","192.168.126.132","QUIC","861","Protected Payload (KP0)"
"152","0.708982180","192.168.126.132","64.233.167.84","TCP","54","36638  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"153","0.709477980","192.168.126.132","64.233.167.84","TLSv1.3","1783","Client Hello (SNI=accounts.google.com)"
"154","0.710210084","64.233.167.84","192.168.126.132","TCP","60","443  >  36638 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"155","0.710210353","64.233.167.84","192.168.126.132","TCP","60","443  >  36638 [ACK] Seq=1 Ack=1730 Win=64240 Len=0"
"156","0.710875834","192.168.126.132","64.233.167.84","QUIC","82","Handshake, DCID=f364452a63bc0900"
"157","0.711124936","192.168.126.132","142.250.75.68","QUIC","74","Protected Payload (KP0), DCID=edf25624b60bdc86"
"158","0.713997329","192.168.126.132","64.233.167.84","QUIC","125","Handshake, DCID=f364452a63bc0900"
"159","0.714443497","192.168.126.132","64.233.167.84","QUIC","116","Protected Payload (KP0), DCID=f364452a63bc0900"
"160","0.714980247","192.168.126.132","64.233.167.84","QUIC","653","Protected Payload (KP0), DCID=f364452a63bc0900"
"161","0.753272072","142.250.75.68","192.168.126.132","QUIC","647","Protected Payload (KP0)"
"162","0.753272401","142.250.75.68","192.168.126.132","QUIC","239","Protected Payload (KP0)"
"163","0.753272448","142.250.75.68","192.168.126.132","QUIC","1288","Protected Payload (KP0)"
"164","0.753272493","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"165","0.753272540","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"166","0.753272586","142.250.75.68","192.168.126.132","QUIC","1224","Protected Payload (KP0)"
"167","0.753272631","142.250.75.68","192.168.126.132","QUIC","127","Protected Payload (KP0)"
"168","0.753272679","142.250.75.68","192.168.126.132","QUIC","136","Protected Payload (KP0)"
"169","0.754059893","192.168.126.132","142.250.75.68","QUIC","77","Protected Payload (KP0), DCID=edf25624b60bdc86"
"170","0.754373662","192.168.126.132","142.250.75.68","QUIC","77","Protected Payload (KP0), DCID=edf25624b60bdc86"
"171","0.754503379","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=edf25624b60bdc86"
"172","0.754634123","192.168.126.132","142.250.75.68","QUIC","77","Protected Payload (KP0), DCID=edf25624b60bdc86"
"173","0.758243923","142.250.75.68","192.168.126.132","QUIC","68","Protected Payload (KP0)"
"174","0.758244394","142.250.75.68","192.168.126.132","QUIC","1287","Protected Payload (KP0)"
"175","0.758689775","142.250.75.68","192.168.126.132","QUIC","467","Protected Payload (KP0)"
"176","0.758689831","142.250.75.68","192.168.126.132","QUIC","174","Protected Payload (KP0)"
"177","0.759398536","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=edf25624b60bdc86"
"178","0.759584380","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=edf25624b60bdc86"
"179","0.764769388","142.250.75.68","192.168.126.132","QUIC","1288","Protected Payload (KP0)"
"180","0.764769809","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"181","0.764769915","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"182","0.765464263","142.250.75.68","192.168.126.132","QUIC","818","Protected Payload (KP0)"
"183","0.765464747","142.250.75.68","192.168.126.132","QUIC","65","Protected Payload (KP0)"
"184","0.765464807","142.250.75.68","192.168.126.132","QUIC","205","Protected Payload (KP0)"
"185","0.767610417","192.168.126.132","142.250.75.68","QUIC","77","Protected Payload (KP0), DCID=edf25624b60bdc86"
"186","0.767859521","192.168.126.132","142.250.75.68","QUIC","73","Protected Payload (KP0), DCID=edf25624b60bdc86"
"187","0.773271968","185.15.59.224","192.168.126.132","TCP","60","443  >  35592 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"188","0.773331070","192.168.126.132","185.15.59.224","TCP","54","35592  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"189","0.774141416","192.168.126.132","185.15.59.224","TLSv1.3","1845","Client Hello (SNI=www.wikipedia.org)"
"190","0.774771115","185.15.59.224","192.168.126.132","TCP","60","443  >  35592 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"191","0.774771204","185.15.59.224","192.168.126.132","TCP","60","443  >  35592 [ACK] Seq=1 Ack=1792 Win=64240 Len=0"
"192","0.793729241","192.168.126.132","142.250.75.68","QUIC","74","Protected Payload (KP0), DCID=edf25624b60bdc86"
"193","0.828600200","142.250.75.68","192.168.126.132","QUIC","1287","Protected Payload (KP0)"
"194","0.828600476","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"195","0.828600513","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"196","0.828600550","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"197","0.828600587","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"198","0.828600622","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"199","0.828600659","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"200","0.828600695","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"201","0.828673362","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"202","0.828673507","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"203","0.829048751","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"204","0.829049055","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"205","0.829144449","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"206","0.829144479","142.250.75.68","192.168.126.132","QUIC","502","Protected Payload (KP0)"
"207","0.829144516","142.250.75.68","192.168.126.132","QUIC","1285","Protected Payload (KP0)"
"208","0.829144551","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"209","0.829144580","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
"210","0.829144608","142.250.75.68","192.168.126.132","QUIC","1292","Protected Payload (KP0)"
